title,author,star5,star4,star3,star2,star1
An Introduction to R: Data Analysis and Visualization (Research Skills),Mark Gardener,0%,0%,0%,0%,0%
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",F. Gregory Ashby,100%,0%,0%,0%,0%
Categorical Data Analysis (Wiley Series in Probability and Statistics),Alan Agresti,61%,24%,12%,3%,0%
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",Leonard J. Ledger,97%,3%,0%,0%,0%
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,Scott V. Burger,59%,9%,19%,7%,7%
Statistical Analysis with R For Dummies (For Dummies (Computers)),Joseph Schmuller,70%,22%,5%,2%,1%
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,"Radhika Datar,  and , Harish Garg",22%,35%,21%,22%,0%
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,"Michelle Suzanne Salmona, Eli Lieber, et al.",64%,16%,12%,7%,0%
Qualitative Data Analysis with NVivo,"Kristi Jackson,  and , Pat Bazeley",77%,14%,5%,1%,2%
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",Agresti,64%,19%,12%,5%,0%
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition","Johan Gabrielsson,  and , Daniel Weiner",80%,6%,6%,8%,0%
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",Sylvia Moestl Vasilik,69%,17%,5%,3%,6%
Essential R For Data Analysis: Data manipulation and visualization using R for beginning and intermediate users,PBR Books,63%,37%,0%,0%,0%
R in Action: Data Analysis and Graphics with R,Dr. Rob Kabacoff,77%,13%,5%,2%,3%
Everyday Adventures with Unruly Data,Melanie Feinberg,0%,0%,0%,0%,0%
Machine Learning: A First Course for Engineers and Scientists,"Andreas Lindholm, Niklas Wahlström, et al.",100%,0%,0%,0%,0%
Python Data Analysis - Second Edition,Armando Fandango,44%,19%,20%,16%,0%
Malware Data Science: Attack Detection and Attribution,"Joshua Saxe,  and , Hillary Sanders",73%,17%,8%,1%,1%
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",Jeffrey M. Wooldridge,76%,13%,4%,3%,4%
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python,Alvaro Fuentes,77%,23%,0%,0%,0%
Machine Learning Bookcamp: Build a portfolio of real-life projects,Alexey Grigorev,81%,10%,9%,0%,0%
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"Upom Malik, Matt Goldwasser, et al.",69%,13%,11%,4%,3%
"Microsoft 365: 11 Books in 1: The Ultimate All-in-One Bible to Master Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Access, Publisher, SharePoint, Teams and Visio with Step-by-Step Tutorials",Benjamin Zeldovich,98%,1%,1%,0%,0%
Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials,Leonard J. Ledger,62%,17%,11%,4%,5%
Data Science from Scratch: First Principles with Python,Joel Grus,63%,17%,10%,7%,3%
Doing Data Science: Straight Talk from the Frontline,"""Cathy ONeil"",  and , Rachel Schutt",61%,24%,7%,5%,3%
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",Paul McFedries,50%,32%,3%,8%,8%
An R Companion to Political Analysis,"Philip H. Pollock,  and , Barry Clayton Edwards",0%,0%,0%,0%,0%
Data and Analytics for Instructional Designers,Megan Torrance,0%,0%,0%,0%,0%
The Workflow of Data Analysis Using Stata,J. Scott Long,74%,19%,3%,4%,0%
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1),Farrokh Alemi,78%,22%,0%,0%,0%
Data Analysis for Database Design,David Howe,78%,22%,0%,0%,0%
Data Analysis for the Life Sciences with R,"Rafael A. Irizarry,  and , Michael I. Love",77%,11%,11%,0%,0%
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,70%,16%,8%,4%,2%
Exploratory Data Analysis,John Tukey,72%,18%,7%,3%,0%
Data Cartels: The Companies That Control and Monopolize Our Information,Sarah Lamdan,0%,0%,0%,0%,0%
"Data Analytics: Introduction and Guide to Data Science, Analysis, Artificial Intelligence and Machine Learning","Markus Schellander, Chris Johnson, et al.",0%,0%,0%,0%,0%
Business Analytics: Data Analysis & Decision Making - Standalone book,"S. Christian Albright,  and , Wayne L. Winston",72%,14%,5%,3%,7%
Network Security Through Data Analysis: From Data to Action,Michael Collins,72%,14%,5%,9%,0%
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,Robert Campbell,100%,0%,0%,0%,0%
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)","Peggy Warren, Susan Wright, et al.",100%,0%,0%,0%,0%
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included",Robert Johnson,93%,3%,1%,3%,0%
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,"Unmesh Gundecha,  and , Carl Cocchiaro",50%,39%,11%,0%,0%
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,Estelle Scifo,48%,28%,17%,7%,0%
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,PROGRAMMING LANGUAGES ACADEMY,63%,22%,7%,3%,4%
Hands-On Data Analysis in R for Finance,Jean-Francois Collard,0%,0%,0%,0%,0%
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas","Silas Toms, Bill Parker, et al.",83%,10%,4%,3%,0%
Field Guide to Optomechanical Design and Analysis (Spie Field Guides),"Burge, James H., et al.",60%,19%,21%,0%,0%
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"Marc Wintjen,  and , Andrew Vlahutin",56%,16%,7%,10%,11%
Introduction to Statistics and Data Analysis,"Roxy Peck, Chris Olsen, et al.",69%,14%,12%,3%,1%
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale,Giuseppe Ciaburro,57%,30%,13%,0%,0%
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,Simon Asplen-Taylor,62%,38%,0%,0%,0%
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI,RICHARD STEVE,53%,30%,17%,0%,0%
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)",Wayne B. Nelson,70%,21%,9%,0%,0%
"Memory Dump Analysis Anthology, Volume 3, Revised Edition (Memory Dump Analysis Anthology (Diagnomicon))","Dmitry Vostokov,  and , Software Diagnostics Institute",0%,0%,0%,0%,0%
Analysis of Economic Data,Gary Koop,66%,18%,16%,0%,0%
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List),Cliff Ragsdale,38%,62%,0%,0%,0%
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,"Michael Mitzenmacher,  and , Eli Upfal",70%,17%,4%,9%,0%
Guerrilla Data Analysis Using Microsoft Excel: 2nd Edition Covering Excel 2010/2013,"Oz du Soleil,  and , Bill Jelen",76%,7%,10%,7%,0%
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,Philipp K. Janert,62%,20%,7%,7%,4%
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,Kristin H. Jarman,77%,16%,7%,0%,0%
Putting FACES on the Data: What Great Leaders and Teachers Do!,"Lyn D. Sharratt,  and , Michael Fullan",0%,0%,0%,0%,0%
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware,"Abhijit Mohanta,  and , Anoop Saldanha",82%,12%,4%,2%,0%
Spatial Analysis with R,Tonny J. Oyana,100%,0%,0%,0%,0%
R Graphics Cookbook: Practical Recipes for Visualizing Data,Winston Chang,74%,14%,4%,6%,2%
A History of Data Visualization and Graphic Communication,"Michael Friendly,  and , Howard Wainer",57%,43%,0%,0%,0%
Murach's R for Data Analysis,Scott Mccoy,0%,0%,0%,0%,0%
Adjustment Computations: Spatial Data Analysis,Charles D. Ghilani,69%,20%,8%,3%,0%
